Пусто,Андрей,Антон,Владимир,Александр,Алина,Виктория,Марк,Данил,Евгений,Егор
Статья 1,2.81,3.31,3,4,2,1,2,3.42,5,1
Статья 2,3,2.57,1,3,3.17,0,1.27,0.55,4.08,0.67
Статья 3,2.08,3,0,4,2.90,2,1.32,0.59,4.02,2
Статья 4,5,2,3,2,1.30,4,3,3,4.05,1.42
Статья 5,1.14,5,5,0,4.38,1.79,1.38,1.96,5,4
Статья 6,1.95,2.57,0.73,0.94,4,2.70,4,2,3,0.78
Статья 7,4,4,0.96,1.67,4,4,3,4,4.22,4
Статья 8,5,2.03,4,2,3,2.61,3,3,3,3
Статья 9,2.48,3,1.03,1.78,5,5,0.64,4,4.25,1.16
Статья 10,2,3.52,1.98,1.45,4.34,3.56,2.69,3.14,4,2.19
